eliteId,PlayerName,BirthDate,BirthYear,BirthMonth,BirthDay,Birthplace,Nation,Height_info,Height,Weight_info,Weight,Position_info,Position,Shoots,DraftYear,DraftRound,Overall,OverallBy,Season,Team,League,GameType,GP,G,A,P,PIM,PlusMinus
3667,"Vincent Lecavalier",1980-04-21,1980,4,21,"L'Ile-Bizard, QC, CAN",Canada,"193 cm / 6'4"",76,"98 kg / 216 lbs",216,C/W,C,L,1998,1,1,"Tampa Bay Lightning",1997-1998,"Rimouski Oceanic",QMJHL,"Regular Season",58,44,71,115,117,27
3667,"Vincent Lecavalier",1980-04-21,1980,4,21,"L'Ile-Bizard, QC, CAN",Canada,"193 cm / 6'4"",76,"98 kg / 216 lbs",216,C/W,C,L,1998,1,1,"Tampa Bay Lightning",1997-1998,"Rimouski Oceanic",QMJHL,Playoffs,18,15,26,41,46,4
3667,"Vincent Lecavalier",1980-04-21,1980,4,21,"L'Ile-Bizard, QC, CAN",Canada,"193 cm / 6'4"",76,"98 kg / 216 lbs",216,C/W,C,L,1998,1,1,"Tampa Bay Lightning",1997-1998,"Canada U20",WJC-20,"Regular Season",7,1,1,2,4,0
3668,"David Legwand",1980-08-17,1980,8,17,"Detroit, MI, USA",USA,"188 cm / 6'2"",74,"94 kg / 207 lbs",207,C,C,L,1998,1,2,"Nashville Predators",1997-1998,"Plymouth Whalers",OHL,"Regular Season",59,54,51,105,56,50
3668,"David Legwand",1980-08-17,1980,8,17,"Detroit, MI, USA",USA,"188 cm / 6'2"",74,"94 kg / 207 lbs",207,C,C,L,1998,1,2,"Nashville Predators",1997-1998,"Plymouth Whalers",OHL,Playoffs,15,8,12,20,24,3
3668,"David Legwand",1980-08-17,1980,8,17,"Detroit, MI, USA",USA,"188 cm / 6'2"",74,"94 kg / 207 lbs",207,C,C,L,1998,1,2,"Nashville Predators",1997-1998,"USA U20",WJC-20,"Regular Season",7,0,0,0,2,0
3669,"Brad Stuart",1979-11-06,1979,11,6,"Rocky Mountain House, AB, CAN",Canada,"187 cm / 6'2"",74,"98 kg / 216 lbs",216,D,D,L,1998,1,3,"San Jose Sharks",1997-1998,"Regina Pats",WHL,"Regular Season",72,20,45,65,82,49
3669,"Brad Stuart",1979-11-06,1979,11,6,"Rocky Mountain House, AB, CAN",Canada,"187 cm / 6'2"",74,"98 kg / 216 lbs",216,D,D,L,1998,1,3,"San Jose Sharks",1997-1998,"Regina Pats",WHL,Playoffs,9,3,4,7,10,-9
8767,"Bryan Allen",1980-08-21,1980,8,21,"Kingston, ON, CAN",Canada,"196 cm / 6'5"",77,"101 kg / 223 lbs",223,D,D,L,1998,1,4,"Vancouver Canucks",1997-1998,"Oshawa Generals",OHL,"Regular Season",48,6,13,19,126,11
8767,"Bryan Allen",1980-08-21,1980,8,21,"Kingston, ON, CAN",Canada,"196 cm / 6'5"",77,"101 kg / 223 lbs",223,D,D,L,1998,1,4,"Vancouver Canucks",1997-1998,"Oshawa Generals",OHL,Playoffs,5,0,5,5,18,-6
